Date,Close
12/5/2016,117.45
12/6/2016,120.19
12/7/2016,116.84
12/8/2016,118.19
12/9/2016,115.06
12/12/2016,115.96
12/13/2016,115.58
12/14/2016,116.47
12/15/2016,117.08
12/16/2016,114.57
12/19/2016,113.36
12/20/2016,114.66
12/21/2016,114.02
12/22/2016,113.06
12/23/2016,114.24
12/27/2016,113.21
12/28/2016,111.7
12/29/2016,111.43
12/30/2016,111.75
1/3/2017,112.38
1/4/2017,116.88
1/5/2017,117.74
1/6/2017,118.36
1/9/2017,120.02
1/10/2017,123.81
1/11/2017,119.06
1/12/2017,118.38
1/13/2017,119.91
1/17/2017,121.79
1/18/2017,122.29
1/19/2017,118.65
1/20/2017,120.01
1/23/2017,120.23
1/24/2017,118.86
1/25/2017,119.75
1/26/2017,116.74
1/27/2017,115.75
1/30/2017,113.48
1/31/2017,114.98
2/1/2017,114.92
2/2/2017,115.3
2/3/2017,118.68
2/6/2017,120.76
2/7/2017,123.93
2/8/2017,128.9
2/9/2017,127.93
2/10/2017,128.23
2/13/2017,129.42
2/14/2017,132.41
2/15/2017,132.51
2/16/2017,129.81
2/17/2017,129.59
2/21/2017,129.43
2/22/2017,125.17
2/23/2017,124.3
2/24/2017,123.74
2/27/2017,125.41
2/28/2017,124.78
3/1/2017,128.31
3/2/2017,129.84
3/3/2017,131.35
3/6/2017,128.99
3/7/2017,127.4
3/8/2017,129.59
3/9/2017,125.44
3/10/2017,125.07
3/13/2017,123.33
3/14/2017,123.47
3/15/2017,123.95
3/16/2017,122.97
3/17/2017,123.08
3/20/2017,122.47
3/21/2017,119.06
3/22/2017,119.5
3/23/2017,121.12
3/24/2017,121.17
3/27/2017,121.41
3/28/2017,120.13
3/29/2017,121.4
3/30/2017,121.35
3/31/2017,120.94
4/3/2017,120.81
4/4/2017,119
4/5/2017,117.09
4/6/2017,115.98
4/7/2017,116.31
4/10/2017,117.93
4/11/2017,118.25
4/12/2017,117.75
4/13/2017,117.07
4/17/2017,116.25
4/18/2017,113.94
4/19/2017,116.19
4/20/2017,115.82
4/21/2017,114.76
4/24/2017,114.45
4/25/2017,116.74
4/26/2017,119.26
4/27/2017,118.43
4/28/2017,118.73
5/1/2017,119.03
5/2/2017,117.24
5/3/2017,113.25
5/4/2017,113.25
5/5/2017,113.04
5/8/2017,109.66
5/9/2017,109.13
5/10/2017,106.01
5/11/2017,103.73
5/12/2017,104.11
5/15/2017,103.21
5/16/2017,102.95
5/17/2017,103.72
5/18/2017,104.29
5/19/2017,106.27
5/22/2017,107.04
5/23/2017,107.8
5/24/2017,106.31
5/25/2017,108.02
5/26/2017,106.13
5/30/2017,101.2
5/31/2017,98.61
6/1/2017,100.61
6/2/2017,101.76
6/5/2017,99.65
6/6/2017,97.38
6/7/2017,97.42
6/8/2017,94.14
6/9/2017,94.99
6/12/2017,96.96
6/13/2017,99.7
6/14/2017,98.81
6/15/2017,97.09
6/16/2017,97.73
6/19/2017,101.22
6/20/2017,104.23
6/21/2017,104.72
6/22/2017,102.91
6/23/2017,103.81
6/26/2017,103.04
6/27/2017,97.57
6/28/2017,97.33
6/29/2017,99.88
6/30/2017,100.25
7/3/2017,100.74
7/5/2017,103.33
7/6/2017,100.19
7/7/2017,102.08
7/10/2017,100.1
7/11/2017,106.56
7/12/2017,106.43
7/13/2017,106.67
7/14/2017,106.15
7/17/2017,106.33
7/18/2017,108.42
7/19/2017,112.43
7/20/2017,114.49
7/21/2017,114.92
